id,name
45,"{""ar"": ""تكبيس المبيض"", ""de"": ""Polyzystisches Ovarialsyndrom (PCOS)"", ""en"": ""Polycystic Ovary Syndrome (PCOS)"", ""es"": ""Síndrome de ovario poliquístico (SOP)"", ""is"": ""Fjölblöðrueggjastokkaheilkenni (PCOS)"", ""it"": ""Sindrome dell’ovaio policistico (PCOS)"", ""ja"": ""多嚢胞性卵巣症候群 (PCOS)"", ""ko"": ""다낭성 난소 증후군 (PCOS)"", ""no"": ""Polycystisk ovariesyndrom (PCOS)"", ""sv"": ""Polycystiskt ovariesyndrom (PCOS)""}"
46,"{""ar"": ""مرحلة ما قبل السكري"", ""de"": ""Prädiabetes"", ""en"": ""Pre-Diabetic State"", ""es"": ""Estado prediabético"", ""is"": ""Forstig sykursýki"", ""it"": ""Stato prediabetico"", ""ja"": ""糖尿病予備軍"", ""ko"": ""당뇨병 전단계"", ""no"": ""Pre-diabetisk tilstand"", ""sv"": ""Prediabetes""}"
51,"{""ar"": ""أورام الثدي"", ""de"": ""Brustneoplasien"", ""en"": ""Breast Neoplasms"", ""es"": ""Neoplasias mamarias"", ""is"": ""Brjóstæxli"", ""it"": ""Neoplasie mammarie"", ""ja"": ""乳房腫瘍"", ""ko"": ""유방 신생물"", ""no"": ""Brystneoplasmer"", ""sv"": ""Bröstneoplasmer""}"
64,"{""ar"": ""الكوليرا"", ""de"": ""Cholera"", ""en"": ""Cholera"", ""es"": ""Cólera"", ""is"": ""Kólera"", ""it"": ""Colera"", ""ja"": ""コレラ"", ""ko"": ""콜레라"", ""no"": ""Kolera"", ""sv"": ""Kolera""}"
72,"{""ar"": ""التهاب المفاصل الروماتويدي"", ""de"": ""Rheumatoide Arthritis"", ""en"": ""Rheumatoid Arthritis"", ""es"": ""Artritis reumatoide"", ""is"": ""Liðagigt"", ""it"": ""Artrite reumatoide"", ""ja"": ""関節リウマチ"", ""ko"": ""류머티즘 관절염"", ""no"": ""Revmatoid artritt"", ""sv"": ""Reumatoid artrit""}"
75,"{""ar"": ""التهاب المعدة"", ""de"": ""Gastritis"", ""en"": ""Gastritis"", ""es"": ""Gastritis"", ""is"": ""Magabólga"", ""it"": ""Gastrite"", ""ja"": ""胃炎"", ""ko"": ""위염"", ""no"": ""Gastritt"", ""sv"": ""Gastrit""}"
92,"{""ar"": ""إطالة العمر"", ""de"": ""Langlebigkeit"", ""en"": ""Longevity""}"
86,"{""ar"": ""مرض الكبد الدهني غير الكحولي"", ""de"": ""Nicht-alkoholische Fettlebererkrankung"", ""en"": ""Non-alcoholic Fatty Liver Disease"", ""es"": ""Enfermedad del hígado graso no alcohólico"", ""is"": ""Fitulifrarsjúkdómur án áfengisneyslu"", ""it"": ""Malattia del fegato grasso non alcolica"", ""ja"": ""非アルコール性脂肪性肝疾患"", ""ko"": ""비알코올성 지방간 질환"", ""no"": ""Ikke-alkoholisk fettleversykdom"", ""sv"": ""Icke-alkoholrelaterad fettlever""}"
89,"{""ar"": ""متلازمة القولون العصبي"", ""de"": ""Reizdarmsyndrom (RDS)"", ""en"": ""Irritable Bowel Syndrome (IBS)"", ""es"": ""Síndrome del intestino irritable (SII)"", ""is"": ""Ofnæmissjúkdómur í þörmum (IBS)"", ""it"": ""Sindrome dell’intestino irritabile (IBS)"", ""ja"": ""過敏性腸症候群 (IBS)"", ""ko"": ""과민성 장 증후군 (IBS)"", ""no"": ""Irritabel tarmsyndrom (IBS)"", ""sv"": ""Irritabel tarm (IBS)""}"
91,"{""ar"": ""الفشل الكلوي المزمن"", ""de"": ""Chronisches Nierenversagen"", ""en"": ""Chronic Kidney Failure / Renal Failure"", ""es"": ""Insuficiencia renal crónica"", ""is"": ""Langvinn nýrnabilun"", ""it"": ""Insufficienza renale cronica"", ""ja"": ""慢性腎不全"", ""ko"": ""만성 신부전"", ""no"": ""Kronisk nyresvikt"", ""sv"": ""Kronisk njursvikt""}"
44,"{""ar"": ""سرطان الكبد"", ""de"": ""Hepatozelluläres Karzinom"", ""en"": ""Hepatocellular carcinoma"", ""es"": ""Carcinoma hepatocelular"", ""is"": ""Lifrarfrumukrabbamein"", ""it"": ""Carcinoma epatocellulare"", ""ja"": ""肝細胞癌"", ""ko"": ""간세포암"", ""no"": ""Hepatocellulært karsinom"", ""sv"": ""Hepatocellulärt karcinom""}"
28,"{""ar"": ""سكر النوع التاني"", ""de"": ""Typ-2-Diabetes"", ""en"": ""Diabetes Mellitus, Type 2"", ""es"": ""Diabetes tipo 2"", ""is"": ""Sykursýki tegund 2"", ""it"": ""Diabete di tipo 2"", ""ja"": ""2型糖尿病"", ""ko"": ""제2형 당뇨병"", ""no"": ""Type 2-diabetes"", ""sv"": ""Typ 2-diabetes""}"
35,"{""ar"": ""مرض الشريان التاجي"", ""de"": ""Koronare Herzkrankheit"", ""en"": ""Coronary Disease"", ""es"": ""Enfermedad coronaria"", ""is"": ""Kransæðasjúkdómur"", ""it"": ""Cardiopatia coronarica"", ""ja"": ""冠動脈疾患"", ""ko"": ""관상 동맥 질환"", ""no"": ""Koronarsykdom"", ""sv"": ""Kranskärlssjukdom""}"
